City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,fort bragg,35.139,-79.006,299.37,91,100,4.63,US,1723059642
285,puerto santa,-8.9906,-78.6456,291.8,77,38,5.39,PE,1723059644
286,brokopondo,4.75,-55.1667,304.29,54,22,1.37,SR,1723059645
287,santa ana,33.7456,-117.8678,306.74,60,20,7.72,US,1723059646
288,dunedin,-45.8742,170.5036,283.04,68,100,4.21,NZ,1723059363
289,wynyard,-41.0,145.7167,283.47,91,100,3.32,AU,1723059649
290,belyy yar,53.6039,91.3903,290.09,82,0,2.0,RU,1723059650
291,nyurba,63.2842,118.3319,281.9,89,60,1.68,RU,1723059652
292,christchurch,-43.5333,172.6333,283.12,72,100,2.57,NZ,1723059243
293,winnipeg,49.8844,-97.147,294.83,56,75,8.75,CA,1723059655
294,praia da vitoria,38.7333,-27.0667,298.29,65,20,2.87,PT,1723059656
295,xiongzhou,25.1167,114.3,299.44,82,21,1.48,CN,1723059657
296,broken hill,-31.95,141.4333,281.83,74,100,4.56,AU,1723059659
297,talodi,10.6325,30.3797,296.36,90,79,2.07,SD,1723059660
298,superior,46.7208,-92.1041,296.2,62,0,5.14,US,1723059662
299,nago,26.5881,127.9761,302.12,87,42,1.99,JP,1723059663
300,marsh harbour,26.5412,-77.0636,303.61,67,59,6.31,BS,1723059664
301,ozu,33.5,132.55,299.92,82,6,1.56,JP,1723059666
302,wau,7.7029,27.9953,296.42,88,100,1.86,SS,1723059667
303,touros,-5.1989,-35.4608,298.42,76,7,7.48,BR,1723059668
304,cuamba,-14.8031,36.5372,293.68,44,0,1.43,MZ,1723059670
305,acarau,-2.8856,-40.12,300.38,70,4,8.71,BR,1723059671
306,mariehamn,60.0973,19.9348,291.94,94,0,1.03,AX,1723059673
307,tazovsky,67.4667,78.7,282.06,75,100,5.91,RU,1723059674
308,taltal,-25.4,-70.4833,289.04,65,0,3.76,CL,1723059675
309,kamikawa,43.84,142.7711,294.3,100,100,1.25,JP,1723059677
310,chibougamau,49.9168,-74.3659,290.94,52,100,5.14,CA,1723059678
311,saint-pierre,-21.3393,55.4781,291.97,68,0,3.09,RE,1723059679
312,fale old settlement,-9.3852,-171.2468,300.91,73,100,8.39,TK,1723059681
313,queenstown,-31.8976,26.8753,284.92,30,36,2.52,ZA,1723059682
314,kununurra,-15.7667,128.7333,292.14,68,95,2.06,AU,1723059684
315,nova sintra,14.8667,-24.7167,298.73,84,89,6.05,CV,1723059685
316,san bartolo,19.1833,-100.05,291.8,83,100,2.3,MX,1723059686
317,grand-bassam,5.2118,-3.7388,298.13,87,100,4.1,CI,1723059688
318,carnarvon,-24.8667,113.6333,291.29,78,0,4.39,AU,1723059689
319,st. john's,47.5649,-52.7093,294.97,64,100,6.69,CA,1723059691
320,cambria,35.5641,-121.0808,308.28,66,31,2.89,US,1723059692
321,rikaze,29.25,88.8833,287.32,54,100,1.66,CN,1723059693
322,sitka,57.0531,-135.33,288.09,88,40,1.54,US,1723059487
323,senanga,-16.1167,23.2667,291.76,17,1,2.12,ZM,1723059696
324,shimoda,34.6667,138.95,298.76,85,0,0.95,JP,1723059697
